"Lot_Frontage","Lot_Area","Street","Lot_Shape","Utilities","Neighborhood","Bldg_Type","House_Style","Overall_Cond","Year_Built","Roof_Style","Total_Bsmt_SF","First_Flr_SF","Second_Flr_SF","Gr_Liv_Area","Full_Bath","Half_Bath","Bedroom_AbvGr","TotRms_AbvGrd","Garage_Finish","Garage_Cars","Garage_Area","Pool_Area","Year_Sold","Sale_Type","Sale_Price","Longitude","Latitude"
141,31770,"Pave","Slightly_Irregular","AllPub","North_Ames","OneFam","One_Story","Average",1960,"Hip",1080,1656,0,1656,1,0,3,7,"Fin",2,528,0,2010,"WD ",215000,-93.619754,42.054035
80,11622,"Pave","Regular","AllPub","North_Ames","OneFam","One_Story","Above_Average",1961,"Gable",882,896,0,896,1,0,2,5,"Unf",1,730,0,2010,"WD ",105000,-93.619756,42.053014
81,14267,"Pave","Slightly_Irregular","AllPub","North_Ames","OneFam","One_Story","Above_Average",1958,"Hip",1329,1329,0,1329,1,1,3,6,"Unf",1,312,0,2010,"WD ",172000,-93.6193873,42.052659
93,11160,"Pave","Regular","AllPub","North_Ames","OneFam","One_Story","Average",1968,"Hip",2110,2110,0,2110,2,1,3,8,"Fin",2,522,0,2010,"WD ",244000,-93.61732,42.051245
74,13830,"Pave","Slightly_Irregular","AllPub","Gilbert","OneFam","Two_Story","Average",1997,"Gable",928,928,701,1629,2,1,3,6,"Fin",2,482,0,2010,"WD ",189900,-93.638933,42.060899
78,9978,"Pave","Slightly_Irregular","AllPub","Gilbert","OneFam","Two_Story","Above_Average",1998,"Gable",926,926,678,1604,2,1,3,7,"Fin",2,470,0,2010,"WD ",195500,-93.638925,42.060779
41,4920,"Pave","Regular","AllPub","Stone_Brook","TwnhsE","One_Story","Average",2001,"Gable",1338,1338,0,1338,2,0,2,6,"Fin",2,582,0,2010,"WD ",213500,-93.633792,42.062978
43,5005,"Pave","Slightly_Irregular","AllPub","Stone_Brook","TwnhsE","One_Story","Average",1992,"Gable",1280,1280,0,1280,2,0,2,5,"RFn",2,506,0,2010,"WD ",191500,-93.633826,42.060728
39,5389,"Pave","Slightly_Irregular","AllPub","Stone_Brook","TwnhsE","One_Story","Average",1995,"Gable",1595,1616,0,1616,2,0,2,5,"RFn",2,608,0,2010,"WD ",236500,-93.632852,42.06112
60,7500,"Pave","Regular","AllPub","Gilbert","OneFam","Two_Story","Average",1999,"Gable",994,1028,776,1804,2,1,3,7,"Fin",2,442,0,2010,"WD ",189000,-93.639068,42.059193
75,10000,"Pave","Slightly_Irregular","AllPub","Gilbert","OneFam","Two_Story","Average",1993,"Gable",763,763,892,1655,2,1,3,7,"Fin",2,440,0,2010,"WD ",175900,-93.636947,42.05848
