yards,success,week
30,1,1
41,1,1
50,1,1
22,1,1
33,1,1
44,1,1
40,1,1
55,0,1
49,1,1
51,1,1
27,1,1
39,1,1
26,1,1
38,1,1
36,1,1
50,1,1
23,1,1
24,1,1
35,1,1
43,0,1
54,0,1
22,1,1
46,1,1
45,1,1
19,1,1
20,1,1
42,1,1
46,1,1
22,1,1
46,1,1
34,1,1
27,1,1
24,1,1
47,1,1
44,1,1
39,1,1
28,1,1
29,1,1
31,1,1
37,1,1
31,1,1
33,0,1
22,1,1
29,1,1
28,1,1
24,1,1
26,1,1
33,1,1
37,1,1
47,1,1
47,1,1
50,1,1
34,1,1
33,1,1
23,1,1
20,1,2
40,1,2
56,1,2
21,1,2
45,0,2
44,1,2
35,1,2
27,1,2
44,1,2
48,0,2
46,1,2
22,1,2
52,1,2
29,1,2
41,1,2
23,1,2
48,1,2
20,1,2
51,1,2
30,1,2
30,1,2
39,1,2
35,1,2
43,0,2
29,1,2
28,1,2
28,1,2
45,0,2
54,1,2
51,0,2
28,1,2
35,1,2
20,1,2
47,1,2
41,1,2
38,0,2
47,0,2
19,1,2
25,1,2
30,1,2
45,1,2
34,1,2
27,1,2
57,1,2
40,1,2
26,1,2
39,1,2
31,1,2
22,1,2
37,1,2
53,0,2
23,1,2
53,0,2
42,1,2
43,1,2
37,1,2
49,1,2
42,1,2
21,1,2
36,1,2
52,1,2
25,1,2
53,0,2
30,1,2
49,1,3
37,1,3
46,0,3
41,0,3
46,1,3
36,1,3
29,1,3
27,1,3
37,1,3
21,1,3
37,0,3
41,1,3
39,1,3
30,1,3
42,0,3
24,1,3
22,1,3
47,1,3
44,1,3
33,1,3
24,0,3
24,1,3
29,1,3
44,0,3
22,1,3
43,1,3
31,1,3
40,1,3
40,1,3
21,1,3
37,1,3
24,1,3
50,0,3
49,1,3
38,1,3
44,1,3
46,1,3
36,1,3
48,0,3
42,1,3
34,1,3
53,0,3
49,0,3
29,1,3
37,0,3
28,1,3
32,1,3
33,1,3
36,1,3
35,0,3
26,1,3
51,0,3
44,0,3
20,1,3
41,1,3
35,0,4
29,1,4
20,1,4
48,1,4
50,0,4
26,1,4
34,1,4
22,1,4
51,0,4
24,1,4
53,1,4
31,1,4
39,0,4
26,1,4
23,1,4
30,0,4
38,1,4
29,1,4
48,0,4
23,1,4
46,0,4
53,1,4
23,1,4
38,1,4
28,1,4
55,0,4
34,1,4
38,1,4
26,1,4
53,1,4
37,1,4
41,1,4
46,1,4
29,1,4
32,1,4
23,1,4
46,1,4
38,1,4
43,1,4
41,1,4
42,1,4
34,1,4
31,1,4
38,1,4
41,1,4
27,1,5
38,1,5
29,1,5
39,1,5
37,1,5
30,1,5
54,0,5
49,1,5
23,1,5
38,1,5
26,1,5
57,0,5
35,1,5
50,1,5
48,1,5
36,1,5
39,1,5
32,1,5
33,1,5
49,1,5
47,0,5
33,1,5
36,1,5
27,1,5
58,1,5
48,1,5
29,1,5
21,1,5
53,0,5
23,1,5
43,1,5
23,1,5
48,1,5
43,1,5
29,0,5
34,1,5
33,1,5
32,1,5
24,1,5
48,1,5
44,1,5
33,1,5
37,1,5
41,1,5
46,0,5
48,1,5
34,0,5
39,0,5
53,1,5
27,1,5
52,1,5
36,1,5
48,1,5
45,1,5
37,1,5
53,1,5
48,1,5
37,0,5
28,1,5
19,1,5
22,1,5
30,1,5
37,1,5
29,1,5
60,0,5
62,0,5
29,1,6
23,1,6
47,1,6
39,1,6
22,1,6
52,1,6
32,1,6
51,1,6
22,1,6
28,1,6
50,1,6
41,1,6
34,1,6
31,1,6
48,0,6
51,1,6
20,1,6
31,0,6
22,1,6
34,1,6
47,0,6
49,0,6
28,1,6
42,0,6
50,1,6
30,1,6
38,0,6
28,1,6
31,1,6
33,1,6
51,1,6
29,1,6
33,1,6
31,1,6
22,1,6
29,1,6
37,1,6
46,1,6
24,1,6
26,1,6
47,1,6
44,1,6
27,1,6
33,1,6
43,1,6
50,0,6
27,1,6
37,1,6
42,1,6
33,1,6
38,0,6
28,1,6
38,1,6
60,0,6
44,1,7
37,1,7
25,1,7
23,1,7
46,1,7
46,1,7
25,1,7
30,1,7
23,1,7
34,1,7
35,0,7
35,0,7
28,1,7
42,1,7
39,1,7
44,1,7
50,1,7
42,1,7
32,1,7
43,0,7
46,1,7
42,1,7
46,0,7
33,1,7
39,1,7
43,1,7
40,1,7
32,1,7
34,1,7
53,1,7
20,1,7
39,1,7
40,1,7
27,1,7
31,0,7
50,0,7
39,0,7
50,1,7
35,1,7
40,1,7
45,1,7
50,0,7
37,1,7
50,0,7
27,1,7
28,1,8
22,1,8
25,1,8
39,1,8
22,1,8
29,1,8
45,0,8
24,1,8
29,1,8
31,1,8
47,1,8
42,1,8
37,1,8
32,0,8
30,1,8
25,1,8
27,1,8
49,0,8
27,1,8
28,1,8
38,1,8
48,0,8
29,1,8
51,1,8
54,0,8
20,1,8
44,1,8
37,1,8
20,1,8
22,1,8
47,0,8
24,1,8
26,1,8
50,1,8
48,0,8
41,0,8
43,1,8
43,1,8
33,1,8
49,1,8
53,1,8
20,1,8
39,1,8
41,0,8
37,0,8
50,0,8
45,0,8
35,0,8
31,1,8
29,1,8
22,1,8
30,1,8
55,0,8
30,1,8
55,0,8
20,1,8
49,0,8
49,1,8
51,1,8
44,1,8
36,0,8
24,1,9
23,1,9
32,1,9
23,1,9
38,1,9
22,1,9
46,0,9
54,1,9
42,1,9
39,1,9
55,1,9
24,1,9
55,0,9
23,1,9
50,1,9
44,1,9
25,1,9
23,1,9
47,1,9
39,0,9
36,0,9
39,1,9
36,1,9
29,1,9
39,0,9
51,0,9
31,1,9
34,0,9
21,1,9
25,1,9
40,1,9
41,0,9
40,1,9
25,1,9
46,1,9
39,1,9
53,0,9
36,1,9
46,1,9
34,1,9
49,1,9
33,1,9
21,1,9
21,1,9
43,1,9
27,1,9
47,1,9
37,1,9
43,1,9
40,1,9
46,1,9
28,1,9
47,1,10
45,1,10
39,1,10
45,1,10
33,1,10
40,1,10
40,1,10
24,1,10
25,1,10
30,1,10
48,1,10
43,1,10
48,0,10
41,0,10
27,1,10
26,1,10
27,1,10
50,1,10
22,1,10
29,1,10
27,1,10
20,1,10
23,1,10
35,1,10
20,1,10
34,1,10
27,1,10
48,1,10
49,0,10
41,1,10
29,1,10
51,1,10
48,1,10
39,1,10
22,1,10
41,1,10
25,1,10
41,1,10
49,1,10
46,1,10
48,1,10
27,1,10
21,1,10
47,0,10
45,0,10
25,1,11
26,1,11
47,0,11
54,0,11
23,1,11
46,0,11
27,1,11
48,0,11
37,1,11
39,1,11
44,0,11
34,1,11
24,1,11
29,1,11
42,1,11
26,1,11
23,1,11
20,1,11
29,0,11
44,0,11
41,1,11
34,1,11
23,1,11
52,1,11
43,1,11
48,0,11
39,1,11
45,1,11
38,1,11
27,1,11
54,0,11
28,1,11
26,1,11
36,1,11
30,1,11
41,1,11
44,1,11
31,1,11
34,0,11
33,1,11
48,0,11
39,1,11
44,0,11
42,1,11
22,1,11
27,1,11
29,0,11
31,1,11
33,1,11
24,1,11
47,1,11
31,1,11
43,1,11
35,1,11
39,0,11
44,0,11
52,0,11
23,1,11
26,1,11
32,1,11
22,1,11
44,1,11
45,0,11
45,1,12
46,1,12
21,1,12
40,1,12
42,1,12
24,1,12
49,0,12
44,0,12
44,1,12
34,1,12
52,0,12
38,1,12
37,1,12
49,0,12
24,1,12
28,0,12
24,1,12
48,0,12
24,1,12
43,0,12
19,1,12
31,1,12
21,1,12
32,1,12
28,1,12
38,0,12
37,0,12
36,1,12
35,1,12
23,1,12
36,0,12
36,1,12
41,1,12
42,1,12
33,1,12
45,0,12
27,1,12
31,1,12
22,1,12
46,1,12
45,1,12
33,1,12
23,1,12
54,1,12
47,1,12
25,1,12
40,0,12
48,1,12
26,1,12
37,1,12
47,1,12
43,1,12
35,1,12
41,1,12
22,1,12
27,1,12
29,1,12
24,1,12
49,1,12
22,1,12
44,0,12
40,1,12
28,1,12
31,1,12
22,1,12
51,1,12
30,1,12
30,1,12
21,1,12
42,1,13
28,1,13
49,1,13
46,1,13
32,1,13
33,1,13
42,1,13
48,1,13
40,1,13
28,1,13
47,1,13
41,1,13
26,1,13
50,0,13
32,1,13
44,0,13
43,0,13
23,1,13
39,1,13
44,1,13
40,1,13
52,0,13
35,1,13
42,1,13
49,0,13
43,1,13
40,1,13
29,1,13
20,1,13
32,0,13
38,0,13
49,0,13
35,1,13
48,1,13
38,1,13
29,1,13
28,1,13
51,1,13
28,1,13
46,1,13
48,1,13
21,1,13
40,0,13
48,0,13
25,1,13
51,0,13
48,0,13
45,1,13
49,1,13
36,1,13
41,1,13
41,0,13
47,1,13
45,0,13
28,1,13
46,0,13
41,0,13
27,1,13
35,1,13
52,0,13
25,1,14
38,1,14
22,1,14
24,1,14
38,1,14
35,1,14
45,1,14
40,1,14
40,1,14
21,1,14
35,1,14
36,1,14
23,1,14
26,1,14
35,1,14
28,1,14
41,0,14
36,1,14
35,1,14
40,0,14
52,0,14
49,0,14
29,1,14
22,1,14
21,1,14
44,1,14
40,1,14
47,0,14
48,0,14
44,0,14
35,0,14
49,0,14
28,1,14
41,1,14
34,0,14
26,0,14
38,1,14
40,1,14
50,0,14
32,1,14
47,1,14
29,1,14
36,0,14
34,0,14
28,1,14
26,1,14
29,1,14
37,1,14
39,0,14
38,1,15
22,1,15
46,0,15
22,1,15
23,1,15
34,1,15
30,1,15
43,1,15
29,1,15
35,1,15
48,0,15
24,1,15
23,1,15
34,0,15
22,1,15
31,1,15
28,1,15
41,1,15
43,0,15
20,0,15
31,1,15
38,1,15
33,1,15
46,1,15
36,1,15
23,1,15
26,1,15
41,0,15
38,1,15
29,1,15
39,1,15
41,0,15
27,1,15
32,1,15
21,1,15
49,1,15
44,1,15
35,0,15
34,1,15
20,1,15
50,0,15
51,1,15
36,1,15
25,1,15
39,1,15
48,1,15
38,0,15
20,1,15
26,1,15
32,1,15
32,1,15
28,1,15
50,0,15
37,1,15
23,1,15
35,1,15
49,0,15
43,0,15
46,1,15
42,1,15
27,1,15
50,1,15
26,1,16
38,1,16
37,1,16
46,1,16
29,1,16
46,0,16
37,0,16
42,1,16
44,1,16
27,1,16
31,0,16
19,1,16
45,1,16
30,0,16
33,0,16
24,1,16
42,1,16
21,1,16
49,1,16
45,1,16
33,1,16
38,1,16
43,1,16
35,1,16
21,0,16
28,1,16
30,1,16
24,1,16
26,1,16
50,1,16
48,1,16
49,1,16
41,1,16
26,1,16
31,1,16
47,1,16
40,1,16
33,1,16
25,1,16
22,1,16
42,1,16
47,1,16
48,1,16
38,0,16
33,0,16
40,1,16
24,1,16
31,1,16
27,1,16
24,1,17
24,0,17
40,0,17
26,1,17
52,0,17
38,1,17
29,0,17
33,1,17
49,0,17
30,0,17
42,1,17
42,1,17
18,1,17
52,0,17
39,1,17
38,1,17
50,1,17
51,1,17
36,1,17
39,1,17
43,1,17
36,1,17
48,1,17
52,0,17
38,1,17
23,1,17
43,1,17
22,1,17
53,0,17
36,1,17
22,1,17
24,1,17
27,1,17
37,1,17
33,1,17
43,1,17
23,1,17
27,1,17
33,1,17
22,1,17
26,1,17
46,1,17
44,0,17
42,1,17
33,1,17
28,1,17
33,1,17
40,0,17
31,1,17
42,1,17
46,1,17
47,1,17
52,0,17
51,0,17
