Name_ID,Name,Sex,Age,Class,Ticket,Joined,Occupation,Boat [Body],Price,Job,Survived,URL,Date_Death,DoB_Clean,Age_F_Code,Age_F,sibsp,parch
28,"ALLEN, Miss Elisabeth Walton ",female,29,1,24160,Southampton,,2,£211 60s 9d,,1,/titanic-survivor/elisabeth-walton-allen.html,12/15/1967,10/1/1882,C,29,0,0
35,"ALLISON, Master Hudson Trevor ",male,0.92,1,113781,Southampton,,11,£151 16s,,1,/titanic-survivor/trevor-allison.html,8/7/1929,5/7/1911,C,1,1,2
36,"ALLISON, Miss Helen Loraine ",female,2,1,113781,Southampton,,  ,£151 16s,,0,/titanic-victim/loraine-allison.html,4/15/1912,6/5/1909,C,2,1,2
37,"ALLISON, Mr Hudson Joshua Creighton ",male,30,1,113781,Southampton,Businessman  , [135],£151 16s,,0,/titanic-victim/hudson-joshua-creighton.html,4/15/1912,12/9/1881,C,30,1,2
38,"ALLISON, Mrs Bessie Waldo ",female,25,1,113781,Southampton,,  ,£151 16s,,0,/titanic-victim/bessie-waldo-allison.html,4/15/1912,11/14/1886,C,25,1,2
44,"ANDERSON, Mr Harry ",male,47,1,19952,Southampton,Stockbroker  ,3,£26 11s,,1,/titanic-survivor/harry-anderson.html,11/23/1951,10/20/1864,C,47,0,0
60,"ANDREWS, Miss Kornelia Theodosia ",female,62,1,13502,Cherbourg,,10,£77 19s 2d,,1,/titanic-survivor/kornelia-theodosia-andrews.html,12/4/1913,8/12/1849,C,62,1,0
66,"APPLETON, Mrs Charlotte ",female,53,1,11769,Southampton,,2,£51 9s 7d,,1,/titanic-survivor/charlotte-appleton.html,6/25/1924,12/12/1858,C,53,2,0
71,"ARTAGAVEYTIA, Mr Ramon ",male,71,1,17609,Cherbourg,Businessman  , [22],£49 10s 1d,,0,/titanic-victim/ramon-artagaveytia.html,4/15/1912,7/15/1840,D,71,0,0
87,"ASTOR, Colonel John Jacob ",male,47,1,17757,Cherbourg,Property Developer / Real Estate  , [124],£247 10s 6d,,0,/titanic-victim/john-jacob-astor.html,4/15/1912,7/13/1864,C,47,1,0
88,"ASTOR, Mrs Madeleine Talmage ",female,18,1,17757,Cherbourg,,4,£247 10s 6d,,1,/titanic-survivor/madeleine-talmage-astor.html,3/27/1940,6/19/1893,C,18,1,0
91,"AUBART, Mme. Léontine Pauline ",female,24,1,17477,Cherbourg,Singer  ,9,£69 6s,,1,/titanic-survivor/leontine-pauline-aubart.html,10/29/1964,5/20/1887,C,24,0,0
123,"BARBER, Miss Ellen Mary ",female,26,1,19877,Southampton,Personal Maid  ,6,£78 17s,Servant,1,/titanic-survivor/ellen-nellie-barber.html,5/2/1963,6/30/1885,M,26,0,0
127,"BARKWORTH, Mr Algernon Henry ",male,47,1,27042,Southampton,Justice of the Peace  ,B ,£30,,1,/titanic-survivor/algernon-barkworth.html,1/5/1945,6/4/1864,C,47,0,0
143,"BASSANI, Mrs Albina ",female,32,1,11813,Cherbourg,Personal Maid  ,8,£76 5s 10d,Servant,1,/titanic-survivor/albina-bazzani.html,7/23/1960,3/25/1880,C,32,0,0
146,"BAUMANN, Mr John D. ",male,60,1,17318,Cherbourg,Businessman  ,  ,£25 18s 6d,,0,/titanic-victim/john-d-baumann.html,4/15/1912,,A,60,0,0
148,"BAXTER, Mr Quigg Edmond ",male,24,1,17558,Cherbourg,,  ,£247 10s 5d,,0,/titanic-victim/quigg-baxter.html,4/15/1912,7/13/1887,C,24,0,1
150,"BAXTER, Mrs Hélène ",female,50,1,17558,Cherbourg,,6,£247 10s 5d,,1,/titanic-survivor/helene-baxter.html,6/18/1923,3/29/1862,C,50,0,1
155,"BEATTIE, Mr Thomson ",male,36,1,13050,Southampton,Landowner  ,A[331],£75 4s 10d,,0,/titanic-victim/thomson-beattie.html,4/15/1912,11/25/1875,C,36,0,0
163,"BECKWITH, Mr Richard Leonard ",male,37,1,11751,Southampton,,5,£52 11s 1d,,1,/titanic-survivor/richard-leonard-beckwith.html,4/11/1933,11/9/1874,C,37,1,1
164,"BECKWITH, Mrs Sallie ",female,46,1,11751,Southampton,,5,£52 11s 1d,,1,/titanic-survivor/sallie-beckwith.html,2/11/1955,9/21/1865,C,46,1,1
169,"BEHR, Mr Karl Howell ",male,26,1,111369,Cherbourg,,5,£30,,1,/titanic-survivor/karl-howell-behr.html,10/15/1949,5/30/1885,C,26,0,0
